partecipante,prototipo,task,tempo,successo,errori,azioni,tipologia azioni,outcome
partecipante_28,B,task_3,1,SI,0,4,"back, scroll down, scroll down, scroll down, scroll down, click, back, scroll down, scroll down, scroll down, click",Yogurt melagrano
partecipante_28,A,task_1,1,SI,0,3,"click, click filtro, click, scroll down, scroll up, click",Spaghetti Funghi e Speck
partecipante_28,A,task_2,1,SI,0,3,"click, click filtro, click, scroll down, click",Stufato di Uova di Quaglia
partecipante_28,A,task_3,1,SI,0,6,"back, scroll up, click",Pollo peperoni e riso
partecipante_29,B,task_1,1,SI,0,3,"click, click filtro, click scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_29,B,task_2,1,SI,0,2,"back, scroll down, scroll up, click filtro, cick, scroll down, scroll down, scroll down, click",Stufato di Uova di Quaglia
partecipante_29,B,task_3,4,SI,0,5,"back, scroll down, scroll up, click filtro, click, scroll down, scroll down, scroll down, scroll down, click",Biscotti Arancia e Cioccolato
partecipante_29,A,task_1,1,SI,0,4,"click, click filtro, click, scroll down, click",Noodles con Maiale e Verdure
partecipante_29,A,task_2,1,SI,0,3,"back, click filtro, click, scroll down, click",Ramen
partecipante_29,A,task_3,1,SI,0,5,"click, scroll down, scroll up, click filtro, click",Yogurt melagrano
partecipante_3,B,task_1,1,SI,0,3,"click, scroll down, scroll down, scroll down, scroll down, scroll down, click",Spaghetti Funghi e Speck
partecipante_3,B,task_2,1,SI,0,2,"back, scroll down, click",Bistecca di Manzo
partecipante_3,B,task_3,3,SI,0,7,"back, scroll down, click, back, scroll down, click",Pad Tai
partecipante_3,A,task_1,1,SI,0,3,"click, scroll down",Spaghetti Funghi e Speck
partecipante_3,A,task_2,1,SI,0,4,"back, scroll down, click, back, click",Zuppa Piccante con Pollo
partecipante_3,A,task_3,1,SI,0,5,"back, scroll down, click, back, scroll down, click",Bocconcini mozzarella marinata
partecipante_30,B,task_1,1,SI,0,4,"click, scroll down, scroll down, scroll down, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_30,B,task_2,1,SI,0,3,"back, click, scroll down, click",Tom yum
partecipante_30,B,task_3,3,SI,0,5,"back, scroll down, click, back, click",Tortellini
partecipante_30,A,task_1,1,SI,0,3,"ckick, scroll down, scroll down, click",Zuppa con funghi
partecipante_30,A,task_2,1,SI,0,3,"back, click, scroll down, click",Foglie di Vite
partecipante_30,A,task_3,1,SI,0,3,"scroll down, click filtro, click",Tiramisù
partecipante_31,B,task_1,1,SI,0,3,"click, scroll down, scroll up, click filtro, click, click",Spaghetti Pomodorini e Basilico
